airline	days_week	flight	route_from	route_to	valid_from	valid_till	encity_from	encity_to	encountry_from	encountry_to
PS	14	PS797	VIN	TLV	2017-09-04	2017-09-07	Vinnytsia	Vinnytsia	Ukraine	Israel
PS	37	PS798	TLV	VIN	2017-09-03	2017-09-06	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	15	PS583	VIN	WRO	2017-09-01	2017-09-25	Vinnytsia	Vinnytsia	Ukraine	Poland
PS	47	PS584	WRO	VIN	2017-09-03	2017-09-28	Wroclaw	Wroclaw	Poland	Ukraine
PS	1234567	PS9818	DNK	VIE	2017-07-09	2017-09-15	Dnipro	Dnipro	Ukraine	Austria
PS	1234567	PS9817	VIE	DNK	2017-05-15	2017-09-15	Vienna	Vienna	Austria	Ukraine
PS	1247	PS791	DNK	TLV	2017-08-01	2017-10-26	Dnipro	Dnipro	Ukraine	Israel
PS	1235	PS792	TLV	DNK	2017-08-01	2017-10-27	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	5	PS549	OZH	BUS	2017-08-25	2017-09-15	Zaporizhia	Zaporizhia	Ukraine	Georgia
PS	3	PS549	OZH	BUS	2017-08-23	2017-09-06	Zaporizhia	Zaporizhia	Ukraine	Georgia
PS	6	PS550	BUS	OZH	2017-08-26	2017-09-16	Batumi	Batumi	Georgia	Ukraine
PS	4	PS550	BUS	OZH	2017-08-24	2017-09-07	Batumi	Batumi	Georgia	Ukraine
PS	4	PS799	OZH	TLV	2017-09-07	2017-10-05	Zaporizhia	Zaporizhia	Ukraine	Israel
PS	6	PS799	OZH	TLV	2017-09-02	2017-09-16	Zaporizhia	Zaporizhia	Ukraine	Israel
PS	57	PS800	TLV	OZH	2017-08-04	2017-09-22	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	37	PS935	IFO	ALC	2017-08-02	2017-10-25	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	Spain
PS	4	PS935	IFO	ALC	2017-08-03	2017-09-07	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	Spain
PS	14	PS936	ALC	IFO	2017-08-03	2017-11-02	Alicante	Alicante	Spain	Ukraine
PS	5	PS936	ALC	IFO	2017-08-04	2017-09-08	Alicante	Alicante	Spain	Ukraine
PS	15	PS939	IFO	VLC	2017-08-04	2017-09-15	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	Spain
PS	26	PS940	VLC	IFO	2017-08-19	2017-09-16	Valencia	Valencia	Spain	Ukraine
PS	1234567	PS845	KBP	VIE	2017-08-31	2017-09-18	Kiev	Kiev	Ukraine	Austria
PS	1234567	PS847	KBP	VIE	2017-08-30	2017-09-12	Kiev	Kiev	Ukraine	Austria
PS	123456	PS9814	KBP	VIE	2017-07-12	2017-10-28	Kiev	Kiev	Ukraine	Austria
PS	1234567	PS9816	KBP	VIE	2017-03-26	2017-10-28	Kiev	Kiev	Ukraine	Austria
PS	1234567	PS846	VIE	KBP	2017-08-31	2017-09-18	Vienna	Vienna	Austria	Ukraine
PS	1234567	PS848	VIE	KBP	2017-08-30	2017-09-08	Vienna	Vienna	Austria	Ukraine
PS	1234567	PS9815	VIE	KBP	2017-03-26	2017-10-28	Vienna	Vienna	Austria	Ukraine
PS	123457	PS9813	VIE	KBP	2017-03-26	2017-10-27	Vienna	Vienna	Austria	Ukraine
PS	1234567	PS601	KBP	GYD	2017-08-20	2017-09-17	Kiev	Kiev	Ukraine	Azerbaijan
PS	46	PS9684	KBP	GYD	2017-08-26	2017-09-14	Kiev	Kiev	Ukraine	Azerbaijan
PS	15	PS9684	KBP	GYD	2017-08-28	2017-10-27	Kiev	Kiev	Ukraine	Azerbaijan
PS	7	PS9684	KBP	GYD	2017-08-13	2017-09-03	Kiev	Kiev	Ukraine	Azerbaijan
PS	1234567	PS602	GYD	KBP	2017-08-21	2017-09-17	Baku	Baku	Azerbaijan	Ukraine
PS	46	PS9683	GYD	KBP	2017-08-26	2017-09-14	Baku	Baku	Azerbaijan	Ukraine
PS	15	PS9683	GYD	KBP	2017-08-28	2017-10-27	Baku	Baku	Azerbaijan	Ukraine
PS	7	PS9683	GYD	KBP	2017-08-13	2017-09-03	Baku	Baku	Azerbaijan	Ukraine
PS	1234567	PS145	KBP	BRU	2017-09-01	2017-09-12	Kiev	Kiev	Ukraine	Belgium
PS	257	PS147	KBP	BRU	2017-09-01	2017-09-17	Kiev	Kiev	Ukraine	Belgium
PS	136	PS148	BRU	KBP	2017-09-02	2017-09-13	Brussels	Brussels	Belgium	Ukraine
PS	1234567	PS146	BRU	KBP	2017-09-01	2017-09-12	Brussels	Brussels	Belgium	Ukraine
PS	1234567	PS1555	KBP	SOF	2017-06-04	2017-10-28	Kiev	Kiev	Ukraine	Bulgaria
PS	1234567	PS1556	SOF	KBP	2017-06-04	2017-10-28	Sofia	Sofia	Bulgaria	Ukraine
PS	134567	PS889	KBP	MSQ	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Belarus
PS	2	PS891	KBP	MSQ	2017-08-22	2017-09-12	Kiev	Kiev	Ukraine	Belarus
PS	1234567	PS893	KBP	MSQ	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Belarus
PS	246	EY8473	KBP	MSQ	2017-07-08	2017-10-28	Kiev	Kiev	Ukraine	Belarus
PS	1234567	B2844	KBP	MSQ	2017-08-24	2017-10-28	Kiev	Kiev	Ukraine	Belarus
PS	1234567	B2846	KBP	MSQ	2017-08-31	2017-09-16	Kiev	Kiev	Ukraine	Belarus
PS	1234567	PS894	MSQ	KBP	2017-09-01	2017-09-08	Minsk	Minsk	Belarus	Ukraine
PS	1234567	PS892	MSQ	KBP	2017-09-01	2017-09-15	Minsk	Minsk	Belarus	Ukraine
PS	24567	PS613	KBP	EVN	2017-08-27	2017-09-14	Kiev	Kiev	Ukraine	Armenia
PS	1234567	PS611	KBP	EVN	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	Armenia
PS	1234567	PS612	EVN	KBP	2017-08-21	2017-09-17	Yerevan	Yerevan	Armenia	Ukraine
PS	24567	PS614	EVN	KBP	2017-08-27	2017-09-14	Yerevan	Yerevan	Armenia	Ukraine
PS	1234567	PS111	KBP	LGW	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	United Kingdom
PS	1234567	PS113	KBP	LGW	2017-09-01	2017-09-19	Kiev	Kiev	Ukraine	United Kingdom
PS	1234567	PS112	LGW	KBP	2017-09-01	2017-10-27	London	London	United Kingdom	Ukraine
PS	1234567	PS114	LGW	KBP	2017-09-01	2017-09-19	London	London	United Kingdom	Ukraine
PS	5	PS506	KUT	KBP	2017-08-11	2017-09-01	Kutaisi	Kutaisi	Georgia	Ukraine
PS	1234567	PS515	KBP	TBS	2017-08-18	2017-09-17	Kiev	Kiev	Ukraine	Georgia
PS	1234567	PS517	KBP	TBS	2017-08-21	2017-09-19	Kiev	Kiev	Ukraine	Georgia
PS	1234567	PS518	TBS	KBP	2017-08-20	2017-09-20	Tbilisi	Tbilisi	Georgia	Ukraine
PS	1234567	PS516	TBS	KBP	2017-08-18	2017-09-17	Tbilisi	Tbilisi	Georgia	Ukraine
PS	1234567	PS353	KBP	ATH	2017-08-30	2017-09-17	Kiev	Kiev	Ukraine	Greece
PS	1234567	PS354	ATH	KBP	2017-08-30	2017-09-17	Athens	Athens	Greece	Ukraine
PS	1234567	PS991	KBP	BCN	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Spain
PS	1234567	PS992	BCN	KBP	2017-09-01	2017-09-15	Barcelona	Barcelona	Spain	Ukraine
PS	246	PS945	KBP	MAD	2017-08-12	2017-09-16	Kiev	Kiev	Ukraine	Spain
PS	357	PS946	MAD	KBP	2017-08-13	2017-09-17	Madrid	Madrid	Spain	Ukraine
PS	25	PS987	KBP	PMI	2017-08-18	2017-09-29	Kiev	Kiev	Ukraine	Spain
PS	5	PS988	PMI	KBP	2017-08-11	2017-09-29	Palma	Palma	Spain	Ukraine
PS	2	PS988	PMI	KBP	2017-08-22	2017-09-26	Palma	Palma	Spain	Ukraine
PS	1234567	PS775	KBP	TLV	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Israel
PS	123457	PS779	KBP	TLV	2017-09-01	2017-09-17	Kiev	Kiev	Ukraine	Israel
PS	367	PS781	KBP	TLV	2017-08-05	2017-09-16	Kiev	Kiev	Ukraine	Israel
PS	1234567	PS777	KBP	TLV	2017-09-01	2017-09-16	Kiev	Kiev	Ukraine	Israel
PS	1234567	PS778	TLV	KBP	2017-09-01	2017-09-17	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	4	PS772	TLV	KBP	2017-09-07	2017-09-07	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	1	PS772	TLV	KBP	2017-09-04	2017-09-04	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	1234567	PS776	TLV	KBP	2017-09-01	2017-09-08	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	123457	PS780	TLV	KBP	2017-09-01	2017-09-17	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	6	PS782	TLV	KBP	2017-08-12	2017-09-16	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	2345	PS751	KBP	TBZ	2017-08-22	2017-09-15	Kiev	Kiev	Ukraine	Iran
PS	3456	PS752	TBZ	KBP	2017-08-23	2017-09-16	Tabriz	Tabriz	Iran	Ukraine
PS	46	PS335	KBP	VRN	2017-08-10	2017-10-28	Kiev	Kiev	Ukraine	Italy
PS	1	PS335	KBP	VRN	2017-09-04	2017-09-04	Kiev	Kiev	Ukraine	Italy
PS	46	PS336	VRN	KBP	2017-08-10	2017-10-28	Villafranca	Villafranca	Italy	Ukraine
PS	1	PS336	VRN	KBP	2017-09-04	2017-09-04	Villafranca	Villafranca	Italy	Ukraine
PS	1234567	PS315	KBP	BGY	2017-09-01	2017-09-09	Kiev	Kiev	Ukraine	Italy
PS	257	PS316	BGY	KBP	2017-09-01	2017-09-17	Bergamo	Bergamo	Italy	Ukraine
PS	1346	PS316	BGY	KBP	2017-08-28	2017-09-07	Bergamo	Bergamo	Italy	Ukraine
PS	1234567	PS311	KBP	MXP	2017-08-30	2017-09-19	Kiev	Kiev	Ukraine	Italy
PS	1234567	PS312	MXP	KBP	2017-08-30	2017-09-19	Milano	Milano	Italy	Ukraine
PS	1234567	PS305	KBP	Рим	2017-08-14	2017-09-18	Kiev	Kiev	Ukraine	Рим
PS	14	PS307	KBP	Рим	2017-08-31	2017-09-14	Kiev	Kiev	Ukraine	Рим
PS	5	PS307	KBP	Рим	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Рим
PS	256	PS308	Рим	KBP	2017-09-01	2017-09-15	Rome	Rome	Рим	Ukraine
PS	1234567	PS306	Рим	KBP	2017-08-14	2017-09-18	Rome	Rome	Рим	Ukraine
PS	12457	PS761	KBP	AMM	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Jordan
PS	12356	PS762	AMM	KBP	2017-09-01	2017-09-08	Amman	Amman	Jordan	Ukraine
PS	123457	PS232	JFK	KBP	2017-08-27	2017-10-27	New York	New York	United States	Ukraine
PS	1234567	PS287	KBP	PEK	2017-09-01	2017-10-28	Kiev	Kiev	Ukraine	China
PS	1234567	PS288	PEK	KBP	2017-09-01	2017-10-28	Beijing	Beijing	China	Ukraine
PS	1234567	PS341	KBP	LCA	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Cyprus
PS	1346	PS343	KBP	LCA	2017-08-21	2017-09-20	Kiev	Kiev	Ukraine	Cyprus
PS	2457	PS344	LCA	KBP	2017-08-22	2017-09-21	Larnaca	Larnaca	Cyprus	Ukraine
PS	1234567	PS342	LCA	KBP	2017-09-01	2017-09-15	Larnaca	Larnaca	Cyprus	Ukraine
PS	123567	PS533	KBP	ALA	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Kazakhstan
PS	123467	PS534	ALA	KBP	2017-09-02	2017-09-09	Almaty	Almaty	Kazakhstan	Ukraine
PS	1234567	PS537	KBP	ALA	2017-08-01	2017-09-13	Kiev	Kiev	Ukraine	Kazakhstan
PS	1234567	PS538	ALA	KBP	2017-08-01	2017-09-14	Almaty	Almaty	Kazakhstan	Ukraine
PS	1357	PS185	KBP	RIX	2017-08-28	2017-09-08	Kiev	Kiev	Ukraine	Latvia
PS	246	PS185	KBP	RIX	2017-08-29	2017-09-16	Kiev	Kiev	Ukraine	Latvia
PS	7	PS9401	KBP	RIX	2017-03-26	2017-10-22	Kiev	Kiev	Ukraine	Latvia
PS	123456	PS9401	KBP	RIX	2017-07-28	2017-10-28	Kiev	Kiev	Ukraine	Latvia
PS	123456	PS9413	KBP	RIX	2017-06-01	2017-10-28	Kiev	Kiev	Ukraine	Latvia
PS	123457	PS9405	KBP	RIX	2017-03-26	2017-10-27	Kiev	Kiev	Ukraine	Latvia
PS	1357	PS186	RIX	KBP	2017-08-28	2017-09-08	Riga	Riga	Latvia	Ukraine
PS	246	PS186	RIX	KBP	2017-08-29	2017-09-16	Riga	Riga	Latvia	Ukraine
PS	7	PS9400	RIX	KBP	2017-03-26	2017-10-22	Riga	Riga	Latvia	Ukraine
PS	123456	PS9400	RIX	KBP	2017-07-28	2017-10-28	Riga	Riga	Latvia	Ukraine
PS	123456	PS9402	RIX	KBP	2017-06-01	2017-10-28	Riga	Riga	Latvia	Ukraine
PS	123457	PS9404	RIX	KBP	2017-03-26	2017-10-27	Riga	Riga	Latvia	Ukraine
PS	123567	PS177	KBP	VNO	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Lithuania
PS	4	PS177	KBP	VNO	2017-09-07	2017-09-14	Kiev	Kiev	Ukraine	Lithuania
PS	1347	PS181	KBP	VNO	2017-08-20	2017-10-19	Kiev	Kiev	Ukraine	Lithuania
PS	1234567	PS183	KBP	VNO	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Lithuania
PS	1234567	PS184	VNO	KBP	2017-09-01	2017-09-08	Vilnius	Vilnius	Lithuania	Ukraine
PS	1234567	PS178	VNO	KBP	2017-09-01	2017-09-08	Vilnius	Vilnius	Lithuania	Ukraine
PS	1347	PS182	VNO	KBP	2017-08-20	2017-10-19	Vilnius	Vilnius	Lithuania	Ukraine
PS	5	PS197	KBP	PLQ	2017-09-01	2017-09-15	Kiev	Kiev	Ukraine	Lithuania
PS	37	PS197	KBP	PLQ	2017-09-03	2017-09-06	Kiev	Kiev	Ukraine	Lithuania
PS	5	PS198	PLQ	KBP	2017-09-01	2017-09-15	Palanga	Palanga	Lithuania	Ukraine
PS	37	PS198	PLQ	KBP	2017-09-03	2017-09-06	Palanga	Palanga	Lithuania	Ukraine
PS	7	PS128	CDG	KBP	2017-08-27	2017-09-17	Paris	Paris	France	Ukraine
PS	1234567	PS897	KBP	KIV	2017-08-21	2017-09-18	Kiev	Kiev	Ukraine	Moldova
PS	1234567	PS898	KIV	KBP	2017-08-19	2017-09-19	Chisinau	Chisinau	Moldova	Ukraine
PS	13467	PS423	KBP	BRE	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	Germany
PS	25	PS423	KBP	BRE	2017-08-22	2017-09-15	Kiev	Kiev	Ukraine	Germany
PS	13467	PS424	BRE	KBP	2017-08-21	2017-09-17	Bremen	Bremen	Germany	Ukraine
PS	25	PS424	BRE	KBP	2017-08-22	2017-09-15	Bremen	Bremen	Germany	Ukraine
PS	1234567	PS411	KBP	DUS	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	Germany
PS	1234567	PS412	DUS	KBP	2017-08-21	2017-09-17	Dusseldorf	Dusseldorf	Germany	Ukraine
PS	1346	PS415	KBP	MUC	2017-08-21	2017-09-16	Kiev	Kiev	Ukraine	Germany
PS	257	PS415	KBP	MUC	2017-08-20	2017-09-22	Kiev	Kiev	Ukraine	Germany
PS	1346	PS416	MUC	KBP	2017-08-21	2017-09-16	Munich	Munich	Germany	Ukraine
PS	257	PS416	MUC	KBP	2017-08-20	2017-09-22	Munich	Munich	Germany	Ukraine
PS	1234567	PS401	KBP	FRA	2017-08-30	2017-09-17	Kiev	Kiev	Ukraine	Germany
PS	1234567	PS402	FRA	KBP	2017-08-30	2017-09-17	Frankfurt	Frankfurt	Germany	Ukraine
PS	1234567	PS101	KBP	AMS	2017-08-18	2017-09-17	Kiev	Kiev	Ukraine	Netherlands
PS	1234567	PS105	KBP	AMS	2017-09-01	2017-09-09	Kiev	Kiev	Ukraine	Netherlands
PS	1234567	PS9384	KBP	AMS	2017-03-26	2017-10-28	Kiev	Kiev	Ukraine	Netherlands
PS	1234567	PS9386	KBP	AMS	2017-07-07	2017-10-28	Kiev	Kiev	Ukraine	Netherlands
PS	1234567	PS106	AMS	KBP	2017-09-01	2017-09-10	Amsterdam	Amsterdam	Netherlands	Ukraine
PS	1234567	PS102	AMS	KBP	2017-08-18	2017-09-17	Amsterdam	Amsterdam	Netherlands	Ukraine
PS	1234567	PS9385	AMS	KBP	2017-03-26	2017-10-28	Amsterdam	Amsterdam	Netherlands	Ukraine
PS	1234567	PS9383	AMS	KBP	2017-03-26	2017-10-28	Amsterdam	Amsterdam	Netherlands	Ukraine
PS	123567	PS373	KBP	DXB	2017-08-09	2017-10-28	Kiev	Kiev	Ukraine	United Arab Emirates
PS	4	PS374	DXB	KBP	2017-08-03	2017-10-26	Dubai	Dubai	United Arab Emirates	Ukraine
PS	1367	PS374	DXB	KBP	2017-08-12	2017-10-28	Dubai	Dubai	United Arab Emirates	Ukraine
PS	2	PS374	DXB	KBP	2017-08-01	2017-10-24	Dubai	Dubai	United Arab Emirates	Ukraine
PS	1346	PS801	KBP	WRO	2017-09-02	2017-09-07	Kiev	Kiev	Ukraine	Poland
PS	257	PS801	KBP	WRO	2017-08-29	2017-09-15	Kiev	Kiev	Ukraine	Poland
PS	1234567	PS803	KBP	WRO	2017-09-01	2017-09-11	Kiev	Kiev	Ukraine	Poland
PS	1234567	PS804	WRO	KBP	2017-09-01	2017-09-09	Wroclaw	Wroclaw	Poland	Ukraine
PS	1346	PS802	WRO	KBP	2017-09-02	2017-09-07	Wroclaw	Wroclaw	Poland	Ukraine
PS	257	PS802	WRO	KBP	2017-08-29	2017-09-15	Wroclaw	Wroclaw	Poland	Ukraine
PS	1357	PS1561	OTP	KBP	2017-03-26	2017-10-27	Bucharest	Bucharest	Romania	Ukraine
PS	1234567	PS231	KBP	JFK	2017-08-26	2017-10-28	Kiev	Kiev	Ukraine	United States
PS	1234567	PS232	JFK	KBP	2017-08-27	2017-10-28	New York	New York	United States	Ukraine
PS	367	PS271	KBP	BKK	2017-08-27	2017-09-16	Kiev	Kiev	Ukraine	Thailand
PS	147	PS272	BKK	KBP	2017-08-28	2017-09-17	Bangkok	Bangkok	Thailand	Ukraine
PS	23567	PS721	KBP	ADA	2017-08-25	2017-09-10	Kiev	Kiev	Ukraine	Turkey
PS	14	PS721	KBP	ADA	2017-09-04	2017-09-11	Kiev	Kiev	Ukraine	Turkey
PS	1234567	PS722	ADA	KBP	2017-09-01	2017-09-13	Adana	Adana	Turkey	Ukraine
PS	12	PS711	KBP	IST	2017-09-04	2017-09-05	Kiev	Kiev	Ukraine	Turkey
PS	1234567	PS713	KBP	IST	2017-08-29	2017-09-29	Kiev	Kiev	Ukraine	Turkey
PS	1234567	PS715	KBP	IST	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	Turkey
PS	134567	PS9558	KBP	IST	2017-03-30	2017-10-28	Kiev	Kiev	Ukraine	Turkey
PS	2	PS9558	KBP	IST	2017-04-04	2017-10-24	Kiev	Kiev	Ukraine	Turkey
PS	57	PS9572	KBP	IST	2017-07-02	2017-10-27	Kiev	Kiev	Ukraine	Turkey
PS	1234567	PS9560	KBP	IST	2017-03-30	2017-10-28	Kiev	Kiev	Ukraine	Turkey
PS	1234567	PS716	IST	KBP	2017-08-22	2017-09-17	Istanbul	Istanbul	Turkey	Ukraine
PS	12	PS712	IST	KBP	2017-09-04	2017-09-05	Istanbul	Istanbul	Turkey	Ukraine
PS	1234567	PS714	IST	KBP	2017-08-29	2017-09-29	Istanbul	Istanbul	Turkey	Ukraine
PS	134567	PS9557	IST	KBP	2017-03-30	2017-10-28	Istanbul	Istanbul	Turkey	Ukraine
PS	2	PS9557	IST	KBP	2017-04-04	2017-10-24	Istanbul	Istanbul	Turkey	Ukraine
PS	57	PS9571	IST	KBP	2017-07-02	2017-10-27	Istanbul	Istanbul	Turkey	Ukraine
PS	1234567	PS9559	IST	KBP	2017-03-30	2017-10-28	Istanbul	Istanbul	Turkey	Ukraine
PS	1234567	PS813	KBP	BUD	2017-09-01	2017-09-08	Kiev	Kiev	Ukraine	Hungary
PS	1234567	PS814	BUD	KBP	2017-09-01	2017-09-08	Budapest	Budapest	Hungary	Ukraine
PS	347	PS151	KBP	HEL	2017-08-24	2017-09-21	Kiev	Kiev	Ukraine	Finland
PS	1256	PS151	KBP	HEL	2017-08-11	2017-09-11	Kiev	Kiev	Ukraine	Finland
PS	347	PS152	HEL	KBP	2017-08-24	2017-09-21	Helsinki	Helsinki	Finland	Ukraine
PS	156	PS152	HEL	KBP	2017-08-11	2017-10-13	Helsinki	Helsinki	Finland	Ukraine
PS	2	PS152	HEL	KBP	2017-08-15	2017-09-05	Helsinki	Helsinki	Finland	Ukraine
PS	7	PS135	KBP	NCE	2017-09-03	2017-09-03	Kiev	Kiev	Ukraine	France
PS	256	PS135	KBP	NCE	2017-09-01	2017-09-05	Kiev	Kiev	Ukraine	France
PS	7	PS136	NCE	KBP	2017-09-03	2017-09-03	Nice	Nice	France	Ukraine
PS	256	PS136	NCE	KBP	2017-09-01	2017-09-05	Nice	Nice	France	Ukraine
PS	1234567	PS127	KBP	CDG	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	France
PS	1234567	PS129	KBP	CDG	2017-08-21	2017-09-17	Kiev	Kiev	Ukraine	France
PS	1234567	PS9283	KBP	CDG	2017-06-01	2017-10-24	Kiev	Kiev	Ukraine	France
PS	1234567	PS9263	KBP	CDG	2017-05-27	2017-10-28	Kiev	Kiev	Ukraine	France
PS	1234567	PS130	CDG	KBP	2017-08-21	2017-09-17	Paris	Paris	France	Ukraine
PS	1234567	PS128	CDG	KBP	2017-08-21	2017-09-17	Paris	Paris	France	Ukraine
PS	1234567	PS9262	CDG	KBP	2017-05-27	2017-10-28	Paris	Paris	France	Ukraine
PS	1234567	PS9282	CDG	KBP	2017-05-31	2017-10-23	Paris	Paris	France	Ukraine
PS	5	PS807	KBP	PRG	2017-08-25	2017-09-15	Kiev	Kiev	Ukraine	Czech Republic
PS	127	PS807	KBP	PRG	2017-08-20	2017-10-24	Kiev	Kiev	Ukraine	Czech Republic
PS	346	PS807	KBP	PRG	2017-08-23	2017-09-16	Kiev	Kiev	Ukraine	Czech Republic
PS	146	PS809	KBP	PRG	2017-08-17	2017-09-23	Kiev	Kiev	Ukraine	Czech Republic
PS	257	PS810	PRG	KBP	2017-08-18	2017-09-24	Prague	Prague	Czech Republic	Ukraine
PS	1257	PS808	PRG	KBP	2017-08-20	2017-09-19	Prague	Prague	Czech Republic	Ukraine
PS	346	PS808	PRG	KBP	2017-08-23	2017-09-16	Prague	Prague	Czech Republic	Ukraine
