date	right_id	type_of_right	airline_name	icao_airline	iata_airline	country	from_city	to_city	min_freq	max_freq	valid_from	valid_till	annul_date	given_by	given_date	annul_reason
12.04.2017	1894	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Київ	Бергамо	0	14	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017	
12.04.2017	1895	Регулярні міжнародні	МАУ	AUI	PS	Грузія	Запоріжжя	Батумі	0	2	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017	
12.04.2017	1900	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Республіка Хорватія	Дніпро	Спліт	0	1	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017	
02.03.2017	1829	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грецька Республіка	Київ	Афіни	0	7	01.04.2017			Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1858	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Львів	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1859	Регулярні міжнародні	Браво	BAY		Республіка Албанія	Київ	Тірана	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1857	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Харків	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1862	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Кривий Ріг	Бургас	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1855	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Київ	Монастір	0	4	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1856	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Запоріжжя	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1860	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Київ	Бургас	0	5	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1861	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Харків	Бургас	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017	
02.03.2017	1767	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Арабська Республіка Єгипет	Львів	Шарм Ель Шейх	0	1	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017	
02.03.2017	1769	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Туніська Республіка	Київ	Енфіда	0	5	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017	
02.03.2017	1768	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Арабська Республіка Єгипет	Харків	Шарм Ель Шейх	0	1	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017	
07.02.2017	1703	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Італійська Республіка	Львів	Брешія	0	2	07.02.2017			Протокол засідання комісії ДАС № 21 від 31.01.2017	08.02.2017	
12.12.2016	1685	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грузія	Львів	Тбілісі	0	2	12.12.2016			Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1670	Регулярні міжнародні	МАУ	AUI	PS	Фінляндська Республіка	Київ	Кіттіла	0	1	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1673	Регулярні міжнародні	МАУ	AUI	PS	Королівство Іспанія	Львів	Малага	0	1	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1675	Регулярні міжнародні	МАУ	AUI	PS	Грузія	Одеса	Кутаїсі	0	2	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1679	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Республіка Австрія	Львів	Відень	0	7	12.12.2016	30.11.2026		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1684	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Держава Ізраїль	Кривий Ріг	Тель-Авів	0	2	12.12.2016			Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1693	Регулярні міжнародні	Браво	BAY		Фінляндська Республіка	Харків	Кіттіла	0	2	12.12.2016	30.11.2056		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1677	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Словацька республіка	Київ	Братислава	0	7	12.12.2016	30.11.2026		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1683	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Держава Ізраїль	Чернівці	Тель-Авів	0	2	12.12.2016			Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1674	Регулярні міжнародні	МАУ	AUI	PS	Португальська Республіка	Львів	Лісабон	0	2	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1686	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грузія	Львів	Батумі	0	2	12.12.2016			Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1692	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Київ	Софія	0	3	12.12.2016	29.11.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1678	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Республіка Словенія	Київ	Любляна	0	7	12.12.2016	30.11.2026		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1672	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Львів	Неаполь	0	2	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1676	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Республика Вірменія	Одеса	Єреван	0	3	12.12.2016	30.11.2026		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1694	Регулярні міжнародні	Браво	BAY		Фінляндська Республіка	Одеса	Кіттіла	0	2	12.12.2016	30.11.2056		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
12.12.2016	1671	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Харків	Бергамо	0	2	12.12.2016	01.12.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
07.02.2017	1682	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Держава Ізраїль	Львів	Тель-Авів	0	3	12.12.2016			Протокол засідання комісії ДАС № 21 від 31.01.2017	08.02.2017	
04.11.2016	1666	Регулярні міжнародні	АТЛАСДЖЕТ УКРАЇНА	UJX	UH	Об'єднані Арабські Емірати	Одеса	Дубай	0	7	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1664	Регулярні міжнародні	АТЛАСДЖЕТ УКРАЇНА	UJX	UH	Федеративна Республіка Німеччина	Одеса	Дюссельдорф	0	7	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1663	Регулярні міжнародні	АТЛАСДЖЕТ УКРАЇНА	UJX	UH	Італійська Республіка	Київ	Мілан	0	7	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1667	Регулярні міжнародні	МАУ	AUI	PS	Республіка Туреччина	Херсон	Стамбул	0	7	04.11.2016	01.11.2066		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1668	Регулярні міжнародні	МАУ	AUI	PS	Республіка Туреччина	Чернівці	Стамбул	0	3	04.11.2016	01.11.2066		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1639	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Республіка Болгарія	Київ	Софія	0	5	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1669	Регулярні міжнародні	МАУ	AUI	PS	Республіка Туреччина	Запоріжжя	Стамбул	0	4	04.11.2016	01.11.2066		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1638	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Італійська Республіка	Івано-Франківськ	Салерно	0	2	04.11.2016	30.09.2026		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1661	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Чернівці	Бергамо	0	3	04.11.2016	01.11.2066		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1662	Регулярні міжнародні	АТЛАСДЖЕТ УКРАЇНА	UJX	UH	Королівство Великої Британії та Північної Ірландії	Одеса	Лондон	0	7	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1665	Регулярні міжнародні	АТЛАСДЖЕТ УКРАЇНА	UJX	UH	Грузія	Київ	Тбілісі	0	7	04.11.2016			Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
04.11.2016	1660	Регулярні міжнародні	МАУ	AUI	PS	Держава Ізраїль	Чернівці	Тель-Авів	0	3	04.11.2016	01.11.2066		Протокол засідання комісії ДАС № 18 від 28.10.2016	04.11.2016	
05.10.2016	1635	Регулярні міжнародні	Браво	BAY		Грузія	Одеса	Тбілісі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1632	Регулярні міжнародні	Браво	BAY		Грузія	Київ	Тбілісі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1634	Регулярні міжнародні	Браво	BAY		Грузія	Одеса	Батумі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1633	Регулярні міжнародні	Браво	BAY		Грузія	Київ	Кутаїсі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1631	Регулярні міжнародні	Браво	BAY		Грузія	Київ	Батумі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1636	Регулярні міжнародні	Браво	BAY		Грузія	Одеса	Кутаїсі	0	7	30.10.2016	29.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1598	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Одеса	Тбілісі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1602	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Київ	Батумі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1601	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Київ	Тбілісі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1600	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Львів	Тбілісі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1597	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Одеса	Батумі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1599	Регулярні міжнародні	ДАРТ	DAT	D4	Грузія	Львів	Батумі	0	7	15.10.2016	15.10.2065		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1547	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Об'єднані Арабські Емірати	Київ	Дубай	0	14	05.10.2016			Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1608	Регулярні міжнародні	МАУ	AUI	PS	Литовська Республіка	Львів	Каунас	0	3	05.10.2016	01.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1609	Регулярні міжнародні	МАУ	AUI	PS	Литовська Республіка	Одеса	Каунас	0	2	05.10.2016	01.10.2066		Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
05.10.2016	1570	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Італійська Республіка	Івано-Франківськ	Салерно	0	2	05.10.2016			Протокол засідання комісії ДАС № 17 від 26.09.2016	05.10.2016	
01.09.2016	1524	Регулярні міжнародні	МАУ	AUI	PS	Китайська Народна Республіка	Київ	Шанхай	0	3	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1539	Регулярні міжнародні	Браво	BAY		Об'єднані Арабські Емірати	Київ	Рас-аль-Хайма	0	2	01.09.2016	29.10.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1520	Регулярні міжнародні	МАУ	AUI	PS	Угорська Республіка	Київ	Будапешт	0	7	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1540	Регулярні міжнародні	Браво	BAY		Республіка Польща	Рівне	Люблін	0	5	01.09.2016	29.10.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1523	Регулярні міжнародні	МАУ	AUI	PS	Арабська Республіка Єгипет	Київ	Каїр	0	4	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1525	Регулярні міжнародні	МАУ	AUI	PS	Киргизька Республіка	Київ	Бішкек	0	4	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1521	Регулярні міжнародні	МАУ	AUI	PS	Данія	Київ	Копенгаген	0	7	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1519	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Чеська Республіка	Дніпро	Острава	0	7	01.09.2016	31.08.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1538	Регулярні міжнародні	Браво	BAY		Словацька республіка	Київ	Попрад	0	3	01.09.2016	29.10.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1522	Регулярні міжнародні	МАУ	AUI	PS	Федеративна Республіка Німеччина	Київ	Гамбург	0	7	01.09.2016	01.09.2066		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1537	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Київ	Туніс	0	2	01.09.2016	29.10.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.09.2016	1536	Регулярні міжнародні	Браво	BAY		Республіка Польща	Київ	Люблін	0	5	01.09.2016	29.10.2026		Протокол засідання комісії ДАС № 16 від 30.08.2016	01.09.2016	
01.08.2016	1510	Регулярні міжнародні	МАУ	AUI	PS	Республіка Білорусь	Львів	Мінськ	0	7	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
07.07.2016	1502	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Республіка Польща	Харків	Люблін	0	2	01.08.2016			Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
07.07.2016	1501	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Республіка Польща	Одеса	Люблін	0	2	01.08.2016			Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
01.08.2016	1511	Регулярні міжнародні	Браво	BAY		Республіка Хорватія	Київ	Задар	0	2	01.08.2016	20.10.2026		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
01.08.2016	1509	Регулярні міжнародні	МАУ	AUI	PS	Республіка Польща	Львів	Варшава	0	7	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
01.08.2016	1506	Регулярні міжнародні	МАУ	AUI	PS	Литовська Республіка	Львів	Вільнюс	0	7	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
01.08.2016	1505	Регулярні міжнародні	МАУ	AUI	PS	Ісламська Республіка Іран	Київ	Шираз	0	3	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
01.08.2016	1508	Регулярні міжнародні	МАУ	AUI	PS	Держава Ізраїль	Запоріжжя	Тель-Авів	0	7	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
01.08.2016	1507	Регулярні міжнародні	МАУ	AUI	PS	Литовська Республіка	Київ	Каунас	0	21	01.08.2016	01.08.2066		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
12.12.2016	1486	Регулярні міжнародні	МАУ	AUI	PS	Литовська Республіка	Київ	Паланга	0	3	07.07.2016	01.07.2066		Протокол засідання комісії ДАС № 19 від 30.11.2016	12.12.2016	
07.07.2016	1500	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Республіка Польща	Київ	Люблін	0	4	07.07.2016			Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
07.07.2016	1498	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Чеська Республіка	Дніпро	Прага	0	7	07.07.2016	30.06.2026		Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
07.07.2016	1488	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Київ	Джерба	0	1	07.07.2016	29.10.2026		Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
07.07.2016	1489	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Київ	Варна	0	2	07.07.2016	29.10.2026		Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
07.07.2016	1487	Регулярні міжнародні	МАУ	AUI	PS	Румунія	Київ	Бухарест	0	7	07.07.2016	01.07.2066		Протокол засідання комісії ДАС № 14 від 30.06.2016	07.07.2016	
02.06.2016	1471	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Італійська Республіка	Київ	Рим	0	5	01.07.2016			Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
01.08.2016	1467	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Київ	Енфіда	0	3	02.06.2016	29.10.2026		Протокол засідання комісії ДАС № 15 від 26.07.2016	01.08.2016	
02.06.2016	1464	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Туніська Республіка	Київ	Енфіда	0	2	02.06.2016			Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
02.06.2016	1472	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Республика Вірменія	Одеса	Єреван	0	2	02.06.2016			Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
02.06.2016	1466	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Львів	Енфіда	0	1	02.06.2016	29.10.2026		Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
02.06.2016	1465	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Харків	Енфіда	0	1	02.06.2016	29.10.2026		Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
02.06.2016	1468	Регулярні міжнародні	Браво	BAY		Грецька Республіка	Київ	Салоніки	0	1	02.06.2016	29.10.2026		Протокол засідання комісії ДАС №13 від 27.05.2016	02.06.2016	
06.05.2016	1461	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грузія	Одеса	Батумі	0	5	01.06.2016			Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1460	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грузія	Одеса	Тбілісі	0	5	01.06.2016			Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1429	Регулярні міжнародні	ДАРТ	DAT	D4	Республіка Албанія	Київ	Тірана	0	7	16.05.2016	16.05.2065		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1453	Регулярні міжнародні	МАУ	AUI	PS	Грузія	Харків	Батумі	0	2	06.05.2016	01.05.2066		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1454	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Івано-Франківськ	Венеція	0	2	06.05.2016	01.05.2066		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1459	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Республіка Болгарія	Одеса	Бургас	0	7	06.05.2016	30.04.2026		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1458	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Грузія	Дніпро	Кутаїсі	0	7	06.05.2016	30.04.2026		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1455	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Івано-Франківськ	Мілан	0	2	06.05.2016	01.05.2066		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1456	Регулярні міжнародні	МАУ	AUI	PS	Республіка Польща	Івано-Франківськ	Познан	0	2	06.05.2016	01.05.2066		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
06.05.2016	1457	Регулярні міжнародні	Дніпроавіа	UDN	Z6	Республика Вірменія	Дніпро	Єреван	0	3	06.05.2016	30.04.2026		Протокол засідання комісії ДАС № 12 від 28.04.2016	10.05.2016	
