country	stage	date	fw_gen	fw_route	fw_airline	text	points_ua	points_foreign	notfull	comments	airlines_total	airlines_route
Австрія	чинна	01.12.1994	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	0		999	999
Азербайджан	чинна	30.01.1996	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	1		999	1
Азербайджан	чинна	30.01.1996	999	999	999	без обмежень	Одеса--Львів	Лінкорань	1		999	1
Албанія	проект		7	7	7	7 рейсів на тиждень	Київ	Тирана	0		999	999
Бахрейн	парафована		14	14	14	14 рейсів на Київ-Бахрейн	Київ	Бахрейн	1		999	999
Бахрейн	парафована		7	7	7	7 рейсів на інших маршрутах	всі	всі	1		999	999
Бельгія	чинна	01.01.2003	999	999	999	Узгоджуються в робочому порядку	всі	всі	0	Частоти узгоджуються в робочому порядку	1	1
Білорусь	чинна	19.09.1995	35	35	35	по 5 рейсів на день для кожної сторони Київ - Мінськ.	Київ	Мінськ	1	Умова діє у літній сезон IATA	999	999
Білорусь	чинна	19.09.1995	999	999	999	без обмежень	всі	всі	1		999	999
Болгарія	чинна	14.04.1995	999	999	999	без обмежень	всі	всі	0		999	999
Боснія і Герцеговина	чинна	17.12.2009	999	999	999	без обмежень	Київ	всі	0		999	999
Бразилія	підписана	02.12.2009	999	999	999	без обмежень	всі	всі	0		999	999
В’єтнам	чинна	20.04.1994	999	999	999	без обмежень	всі	всі	0		999	999
Велика Британія	чинна	17.07.2015	17	17	17	17 рейсів: Лондон-Київ.	Київ	Лондон	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: на інших маршрутах, крім Лондона і Києва.	всі	всі	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	Київ	всі	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	всі	Лондон	1		999	999
Вірменія	чинна	11.08.1995	999	999	999	без обмежень	всі	всі	0		999	999
Гонконг	проект		999	7	999	7 рейсів на тиждень по кожному маршруту	всі	Гонконг	0		999	999
Греція	підписана	06.10.2011	999	999	999	без обмежень	всі	всі	0		999	999
Грузія	чинна	11.11.2011	999	999	999	без обмежень	всі	всі	0		999	999
Данія	чинна	27.03.2001	999	999	999	без обмежень	всі	Копенгаген--NA--NA	0		999	999
Естонія	чинна	16.09.1993	999	999	999	без обмежень	всі	всі	0		999	999
Єгипет	чинна	22.12.1993	4	4	4	4 рейси для кожної сторони за основним маршрутом Київ-Каїр без обмеження ємності.	Київ	Каїр	1		999	999
Єгипет	чинна	22.12.1993	4	4	4	4 рейси сукупно на інших ніж Київ і Каїр маршрутах	всі	всі	1	Обмеження ємності 450 крісел/тиждень у кожному напрямку	999	999
Ізраїль	чинна	17.09.1995	31	31	31	до 31 частоти на тиждень за маршрутом Київ – Тель-Авів	Київ	Тель-Авів	1		999	999
Ізраїль	чинна	17.09.1995	14	14	14	до 14 частот на тиждень за усіма іншими маршрутами	всі	всі	1		999	1
Індія	чинна	07.07.1995	14	14	7	По 7 рейсів на тиждень для кожної а/к з кожної сторони при польотах до/з Делі.	всі	Делі	1		2	2
Індія	чинна	07.07.1995	999	2	999	До 2 рейсів на тиждень на кожному маршруті.	всі	Нью-Делі--Гоа--Амрітсар	1		2	2
Індонезія	чинна	16.01.1999	999	999	999	без обмежень	всі	Джакарта	0		1	1
Ірак	проект		999	7	999	по 7 рейсів на тиждень на кожному маршруті	всі	всі	0		999	999
Іран	чинна	17.09.1995	999	4	999	по 4 рейсів на тиждень на кожному маршруті	всі	всі	0		999	999
Ісландія	проект		999	999	999	без обмежень	Київ	Рейк’явік	0		999	999
Ірландія	проект		999	999	999	без обмежень	всі	всі	0		999	999
Іспанія	чинна	27.03.1998	999	999	999	без обмежень	всі	всі	0		999	999
Італія	чинна	04.02.1998	999	999	999	без обмежень	всі	всі	0		999	999
Йорданія	чинна	11.10.2006	999	999	999	без обмежень	всі	всі	0		999	999
Казахстан	чинна	22.02.1993	14	14	14	14 між Україною та Казахстаном + Київ-Актау 2 рейси на тиждень	всі	Алмати--Астана--Караганда--Костанай--Усть-Каменогорск--Павлодар	1		999	999
Казахстан	чинна	22.02.1993	2	2	2	+ Київ-Актау 2 рейси на тиждень	Київ	Актау	1		999	999
Канада	чинна	28.04.1999	999	3	999	три рейси на тиждень у кожному напрямку; будь-які пункти в Україні – Торонто + 1 пункт (пункт може змінюватися протягом кожного періоду ІАТА)	всі	Торонто--NA	0	Другий пункт (крім Торонто) може змінюватись кожного періоду ІАТА	999	999
Катар	чинна	16.11.2012	999	999	999	без обмежень	всі	всі	0		1	1
Киргизстан	чинна	23.02.1993	999	999	999	без обмежень	всі	всі	0	Відповідно до п.4 ст. 3 Угоди усі комерційні питання, в т.ч. частоти вирішуються між призначеними а/к і надаються на затвердження авіаційним властям	999	999
Кіпр	підписана	08.11.2012	999	999	999	без обмежень	всі	Ларнака--Пафос	0		999	999
КНР	чинна	05.07.1993	14	7	14	14 рейсів для кожної сторони (сукупно на країну). До 7 рейсів на кожному маршрут	всі	Пекін--Тяньцзінь--Шанхай--Гуанчжоу	0	Додатково 1 вантажний рейс з України до Тяньцзіня	3	3
Куба	чинна	08.01.2001	999	999	999	без обмежень	всі	всі	0		2	1
Кувейт	чинна	05.08.2009	4	4	4	4 рейси на тиждень для кожної сторони	Київ	Кувейт	0		999	999
Латвія	чинна	31.01.1996	999	999	999	без обмежень	всі	Рига	0		999	999
Литва	чинна	28.12.1993	999	999	999	без обмежень	Київ--Сімферополь--Одеса	Вільнюс--Каунас--Паланга	0		999	999
Ліван	чинна	19.08.2003	2	2	2	2 рейси на тиждень для кожної сторони	Київ--Сімферополь--Донецьк	Бейрут	0	Додатково 2 р/т для суто вантажних перевезень	999	1
Лівія	чинна	04.11.2002	999	999	999	без обмежень	Київ	Триполі	0		999	999
Люксембург	чинна	15.11.1995	999	999	999	без обмежень	всі	Люксембург	0		999	999
Македонія	чинна	29.04.1999	999	999	999	без обмежень	всі	Скоп’є--Охрід	0		999	999
Малайзія	проект		999	999	999	без обмежень	Київ	Куала-Лумпур	0		999	999
Мальдіви	парафована		999	999	999	без обмежень	всі	всі	0		999	999
Мальта	парафована		999	999	999	без обмежень	Київ	Лука	0		1	1
Марокко	парафована		2	2	2	2 рейси на тиждень	всі	Касабланка--NA	0		999	999
Молдова	чинна	20.03.1993	7	7	7	7 рейсів на тиждень Київ - Кишинів. За іншими - за узгодженням між авіакомпаніями	Київ	Кишинів	0	Інші рейси узгоджуються між авіакомпаніями	999	999
Монголія	чинна	22.07.1993	999	999	999	без обмежень	Київ	Улан-Батор	0		999	999
Нідерланди	чинна	03.06.1994	14	14	14	14 р/т за маршрутом Київ-Амстердам	Київ	Амстердам	1		1	1
Нідерланди	чинна	03.06.1994	999	999	999	14 р/т за маршрутом Київ-Амстердам	всі	всі	1		1	1
Німеччина	чинна	15.03.1999	28	28	28	28 рейсів на тиждень для кожної сторони за основними маршрутами: Київ-Берлін, Київ-Франкфурт, Київ-Мюнхен (сукупно).	Київ	Берлін--Франкфурт--Мюнхен	1		999	2
Німеччина	чинна	15.03.1999	7	7	7	7 рейсів на тиждень для кожної сторони за регіональними маршрутами.	всі	всі	1	на всі рейси з/до Києва можуть ути призначені до 2-х авіакомпаній	999	3
Норвегія	чинна	27.03.2001	999	999	999	без обмежень	Київ--NA--NA	Осло--Сандефьорд--NA	0		999	999
ОАЕ	підписана	26.11.2012	999	999	999	без обмежень	всі	всі	0		999	999
Пакистан	проект		8	2	8	2 рейси на тиждень за кожним маршрутом узкофюзеляжним ПС або 1 рейс широкофюзеляжним ПС	всі	Карачі--Ісламабад--Пешовар--Лахор	0	1 рейс на маршруті для широкофюзеляжних літаків, 2 р/т на маршруті для вузькофюзеляжних	999	999
ПАР	проект		999	999	999	без обмежень	всі	всі	0		999	999
Польша	чинна	28.07.2016	999	999	999	без обмежень	всі	всі	0		999	999
Португалія	чинна	16.03.2012	999	999	999	без обмежень	Київ	Лісабон	0		2	2
Республіка Корея	чинна	06.03.2003	999	999	999	без обмежень	всі	всі	0		999	999
Російська Федерація	чинна	02.03.1995	999	999	999	без обмежень	всі	всі	0		999	999
Румунія	чинна	01.06.1999	999	999	999	без обмежень	всі	всі	0		999	999
Саудівська Аравія	проект		999	7	999	7 рейсів на кожному маршруті (пасажирські або комбіновані пасажирські/вантажні рейси), за виключенням аеропорту Даммам (без обмежень)	всі	всі	1		999	999
Саудівська Аравія	проект		999	999	999	7 рейсів на кожному маршруті (пасажирські або комбіновані пасажирські/вантажні рейси), за виключенням аеропорту Даммам (без обмежень)	всі	Даммам	1		999	999
Сирія	чинна	02.02.1999	999	999	999	без обмежень	всі	Дамаск--Алеппо	0		999	999
Сінгапур	проект		999	999	999	без обмежень	всі	всі	0		999	999
Словаччина	чинна	28.01.1995	999	999	999	без обмежень	всі	всі	0		999	999
Словенія	чинна	14.06.2001	999	999	999	без обмежень	Київ	Любляна	0		999	999
США	підписана	14.07.2015	999	999	999	без обмежень	всі	всі	0		999	999
Таджикістан	чинна	07.12.2009	4	2	4	2 рейси на тиждень за кожним маршрутом	Київ--Львів	Душанбе	0		1	1
Таїланд	чинна	17.04.2007	21	21	21	21 рейс сукупно на країну будь-яким типом ПС	всі	всі	0		999	999
Туніс	чинна	25.08.1994	999	999	999	без обмежень	всі	всі	0		999	999
Туреччина	чинна	31.10.2013	16	16	16		Київ	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	14	14	14		Одеса	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	15	15	15		Львів	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	10	10	10		Херсон	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	14	14	14		Запоріжжя	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	14	14	14		Харків	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	10	10	10		Вінниця	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	999	999	999		Донецьк--Сімферополь	Стамбул	1		999	999
Туреччина	чинна	31.10.2013	999	999	999		Київ	Анкара	1		999	999
Туреччина	чинна	31.10.2013	7	7	7		всі	всі	0		999	999
Туркменістан	чинна	25.02.1993	999	3	999	три рейси на кожному маршруті	всі	всі	0		999	999
Угорщина	чинна	09.11.1995	9	9	9	Пасажирські перевезення Київ-Будапешт, Одеса-Будапешт: 9 рейсів на тиждень для кожної сторони.	Київ--Одеса	Будапешт	1	+9 вантажних рейсів 	999	999
Угорщина	чинна	09.11.1995	999	999	999	Інші маршрути: необмежена кількість рейсів	всі	всі	1		999	999
Узбекістан	чинна	20.02.1993	999	999	999	Київ-Ташкент – частота встановлюється за домовленістю між а/к	Київ	Ташкент	1	Частота рейсів встановлюється за домовленістю між а/к	999	999
Узбекістан	чинна	20.02.1993	2	2	2	Одеса-Ташкент – 2	Одеса	Ташкент	1		999	999
Узбекістан	чинна	20.02.1993	3	3	3	Сімферополь – Ташкент – 3	Сімферополь	Ташкент	1		999	999
Фінляндія	чинна	01.03.1996	999	999	999	без обмежень	Київ	HEL--ENF--IVL--KEM--KTT--RVN	0		999	1
Франція	чинна	23.01.1995	14	14	14	14 Київ-Париж	Київ	Париж	1		1	1
Франція	чинна	23.01.1995	999	7	999	по 7 на інші напрямки	всі	всі	1		1	1
Хорватія	чинна	09.12.2002	999	999	999	без обмежень	всі	всі	0		999	1
Чехія	чинна	09.09.1998	10	10	10	Київ – Прага – 10 рейсів на тиждень для авіакомпаній кожної сторони	Київ	Прага	1		999	999
Чехія	чинна	09.09.1998	999	4	999	Одеса – Прага 7 рейсів на тиждень сукупно для обох сторін. Інші регіональні – 7 рейсів на тиждень сукупно для обох сторін за кожним окремим маршрутом.	Одеса--Донецьк--Львів--Харків--Сімферополь--Ужгород--Дніпро	Прага	1	7 р/т за кожним маршрутом сукупно для українських і чеських а/к 	999	999
Чехія	чинна	09.09.1998	4	4	4	Карлови Вари — Київ	Київ	Карлови Вари	1	7 р/т за кожним маршрутом сукупно для українських і чеських а/к 	999	999
Чорногорія	чинна	07.12.2011	7	7	7	7 р/т за кожним маршрутом	Київ	Подгориця	0		999	999
Швейцарія	чинна	25.03.1997	19	19	19	19 р/т сукупно на країну	всі	всі	0		999	999
Швеція	чинна	27.03.2001	999	999	999	без обмежень	всі	Стокгольм--NA--NA	0		999	999
Шрі-Ланка	чинна	18.06.2012	7	7	7	7 р/т між країнами	Київ--Одеса	Коломбо	0		999	999
Сербія	парафована	25.01.1996	999	999	999	без обмежень	всі	всі	0		999	999